"QUANTIDADE";"VALOR";"COD_ENTIDADE";"MATRICULAS";"TAMANHO_ESCOLA";"DUMMY_PARTICIPACAO"
473;"260.102,70";23041005;486;519;"1"
456;"250.754,40";24056405;327;352;"1"
131;"72.036,90";26135233;133;168;"1"
12;"6.598,80";26073870;22;25;"1"
519;"285.398,10";53005651;381;430;"1"
642;"353.035,80";21008280;645;690;"1"
210;"115.479,00";17013445;213;251;"1"
446;"245.255,40";32016280;355;402;"1"
306;"168.269,40";13049453;24;26;"1"
379;"208.412,10";32022760;339;384;"1"
29;"15.947,10";26074001;40;44;"1"
58;"31.894,20";26073692;32;37;"1"
321;"176.517,90";53005988;422;458;"1"
406;"223.259,40";32040636;513;573;"1"
737;"405.276,30";52070980;533;584;"1"
464;"255.153,60";33030901;383;450;"1"
384;"211.161,60";11033576;301;358;"1"
511;"280.998,90";51050129;642;685;"1"
444;"244.155,60";27045226;621;664;"1"
652;"358.534,80";17026245;756;815;"1"
478;"262.852,20";15574636;824;875;"1"
34;"18.696,60";26074044;38;43;"1"
436;"239.756,40";26097982;603;641;"1"
423;"232.607,70";22117776;532;572;"1"
725;"398.677,50";31258377;933;1048;"1"
480;"263.952,00";24055794;665;723;"1"
462;"254.053,80";41120493;486;512;"1"
563;"309.593,70";12013099;499;549;"1"
494;"271.650,60";11045175;985;1031;"1"
593;"326.090,70";52025624;429;459;"1"
712;"391.528,80";32074662;800;845;"1"
381;"209.511,90";15135276;525;561;"1"
631;"346.986,90";50000675;888;942;"1"
595;"327.190,50";41041410;543;601;"1"
582;"320.041,80";15075109;1030;1060;"1"
113;"62.138,70";43111572;129;154;"1"
319;"175.418,10";51033313;251;281;"1"
44;"24.195,60";26073528;35;44;"1"
708;"389.329,20";25072820;597;628;"1"
445;"244.705,50";41096770;433;471;"1"
350;"192.465,00";25019740;246;273;"1"
625;"343.687,50";28010680;562;592;"1"
495;"272.200,50";22009973;646;696;"1"
265;"145.723,50";50029533;262;286;"1"
573;"315.092,70";43096565;867;922;"1"
791;"434.970,90";51053764;875;984;"1"
445;"244.705,50";43020372;390;420;"1"
365;"200.713,50";17019435;427;494;"1"
361;"198.513,90";24009580;310;336;"1"
553;"304.094,70";24065650;454;488;"1"
468;"257.353,20";33037000;548;591;"1"
397;"218.310,30";31002852;854;947;"1"
36;"19.796,40";31136638;30;34;"1"
339;"186.416,10";14006340;282;322;"1"
363;"199.613,70";26074362;360;390;"1"
542;"298.045,80";35245653;516;558;"1"
98;"53.890,20";26073730;96;116;"1"
281;"154.521,90";43035582;239;262;"1"
331;"182.016,90";25015060;327;361;"1"
305;"167.719,50";52096254;296;321;"1"
350;"192.465,00";15052664;399;437;"1"
936;"514.706,40";21261563;1077;1147;"1"
647;"355.785,30";12011410;482;556;"1"
277;"152.322,30";14001314;225;246;"1"
545;"299.695,50";42109175;362;388;"1"
285;"156.721,50";11017023;263;312;"1"
12;"6.598,80";26073846;12;15;"1"
652;"358.534,80";31134881;617;668;"1"
559;"307.394,10";33035156;664;744;"1"
11;"6.048,90";26073676;17;19;"1"
294;"161.670,60";31090204;253;291;"1"
171;"94.032,90";26073927;219;259;"1"
675;"371.182,50";14000016;734;819;"1"
19;"10.448,10";26073960;19;22;"1"
99;"54.440,10";50010069;94;108;"1"
384;"211.161,60";16002970;506;553;"1"
233;"128.126,70";43146210;224;240;"1"
76;"41.792,40";15052702;101;112;"1"
537;"295.296,30";41125339;472;505;"1"
15;"8.248,50";28031490;40;48;"1"
479;"263.402,10";53007310;828;881;"1"
513;"282.098,70";35001788;453;498;"1"
423;"232.607,70";50024507;359;428;"1"
502;"276.049,80";25000691;587;632;"1"
454;"249.654,60";42021103;362;382;"1"
336;"184.766,40";28008243;431;460;"1"
525;"288.697,50";43043364;636;694;"1"
553;"304.094,70";29299241;370;400;"1"
791;"434.970,90";35206143;985;1050;"1"
267;"146.823,30";31272710;248;269;"1"
46;"25.295,40";43088910;37;41;"1"
38;"20.896,20";26073919;64;73;"1"
38;"20.896,20";26073897;44;51;"1"
155;"85.234,50";43111530;205;238;"1"
549;"301.895,10";28018907;536;606;"1"
76;"41.792,40";26073757;68;84;"1"
416;"228.758,40";21026726;440;470;"1"
200;"109.980,00";14002175;186;215;"1"
206;"113.279,40";29097509;392;556;"1"
595;"327.190,50";33061220;NA;NA;"1"
458;"251.854,20";35037643;434;466;"1"
321;"176.517,90";32043554;349;386;"1"
562;"309.043,80";28030281;858;915;"1"
553;"304.094,70";22106972;378;423;"1"
209;"114.929,10";52090400;130;155;"1"
550;"302.445,00";33130949;380;424;"1"
373;"205.112,70";12012360;411;453;"1"
313;"172.118,70";22024441;290;348;"1"
473;"260.102,70";31003042;738;822;"1"
389;"213.911,10";26158060;288;317;"1"
727;"399.777,30";33098891;613;683;"1"
284;"156.171,60";14322455;255;290;"1"
716;"393.728,40";31015181;900;993;"1"
739;"406.376,10";33031142;670;729;"1"
469;"257.903,10";23264616;453;487;"1"
156;"85.784,40";26073790;166;191;"1"
356;"195.764,40";50031090;278;312;"1"
437;"240.306,30";21030197;397;429;"1"
524;"288.147,60";28021053;445;508;"1"
373;"205.112,70";42112761;402;453;"1"
351;"193.014,90";33068330;307;344;"1"
27;"14.847,30";41041453;12;18;"1"
303;"166.619,70";26064618;303;335;"1"
88;"48.391,20";26095050;95;106;"1"
435;"239.206,50";11007281;551;616;"1"
184;"101.181,60";43031315;194;220;"1"
242;"133.075,80";17034078;267;298;"1"
136;"74.786,40";28020367;118;143;"1"
437;"240.306,30";29304962;313;347;"1"
503;"276.599,70";14000601;415;511;"1"
427;"234.807,30";41041399;324;372;"1"
512;"281.548,80";23025204;323;374;"1"
502;"276.049,80";11046074;428;446;"1"
25;"13.747,50";26143054;41;45;"1"
540;"296.946,00";42006589;345;382;"1"
526;"289.247,40";50011464;662;708;"1"
396;"217.760,40";50010018;404;445;"1"
386;"212.261,40";16001184;590;643;"1"
427;"234.807,30";43174167;404;454;"1"
171;"94.032,90";33027102;457;501;"1"
420;"230.958,00";23192003;450;480;"1"
138;"75.886,20";43019510;138;157;"1"
34;"18.696,60";26073587;17;19;"1"
81;"44.541,90";28020383;66;74;"1"
43;"23.645,70";26073838;57;63;"1"
371;"204.012,90";52039943;320;361;"1"
62;"34.093,80";15052940;73;81;"1"
443;"243.605,70";33059330;382;420;"1"
245;"134.725,50";43016502;155;183;"1"
