municipio;ano;codigo;quant__estabelecimentos;dummy_mtpb;PREC2017_mean;TEMP_2017_mean;area_fr;s_assistencia_fr;despesas_fr;idade_m75_fr;producao_fr;propietarios_fr;quant_estab_irrigacao_fr;quant_pessoas_ocupadas_fr;quant_trator_implem_fr;num_estab_armazenadoras_fr
Sapezal (MT);2017;5107875;80;0;1962,073333;26,333333;7597,578;0,0625;22373,15806;0,225;37229,11674;0,225;0,0625;77,525;32,5;0,5
Caçu (GO);2017;5204300;6;0;1406,966667;26,96;6230,843333;0,333333333;28438,05967;0,333333333;29108,2905;0,333333333;0,166666667;108,1666667;12;0
União de Minas (MG);2017;3170438;4;0;1246,7;26,846667;4526,56;0;11191,79;0,25;17716,75;0,25;0;34,25;4,75;0
Iturama (MG);2017;3134400;19;0;1246,7;26,63;2968,793158;0,368421053;8972,491684;0,263157895;14977,46721;0,263157895;0,210526316;40,94736842;11,05263158;0,052631579
São Manuel (SP);2017;3550100;14;0;1453,4;21,21;2796,380643;0,071428571;19831,83593;0,5;13979,54957;0,5;0,214285714;104,7142857;20,85714286;0
Campos de Júlio (MT);2017;5102686;74;0;1906,95;25,8825;4329,259324;0,081081081;7874,02627;0,135135135;13656,59977;0,135135135;0,040540541;26,33783784;14,56756757;0,459459459
Campo Novo do Parecis (MT);2017;5102637;156;0;1999,144444;26,5;3383,855622;0,147435897;6560,810673;0,179487179;13164,05662;0,179487179;0,076923077;21,32692308;13,16025641;0,282051282
Américo Brasiliense (SP);2017;3501707;4;0;1162,35;21,925;2911,7925;0,25;102473,163;0;11789,8355;0;0;754,25;100,75;NA
Santo Antônio do Leste (MT);2017;5107792;52;0;1951,233333;26,038333;3266,296558;0,115384615;7139,283346;0,211538462;11652,94533;0,211538462;0,115384615;31,86538462;12,69230769;0,346153846
Gouvelândia (GO);2017;5209150;18;0;1373,5;27,72;2111,419444;0,222222222;10281,8205;0,222222222;10910,97194;0,222222222;0;61,66666667;10,16666667;0,055555556
Lambari D'Oeste (MT);2017;5105234;22;0;1362,366667;27,263333;1259,935;0,863636364;1877,642727;0,136363636;10839,12;0,136363636;0,045454545;15,72727273;4,681818182;0
Alto Taquari (MT);2017;5100607;48;0;1536,1;25,006667;2107,205917;0,416666667;3169,281875;0,0625;10110,1936;0,0625;0,020833333;26,0625;9,229166667;0,270833333
Costa Rica (MS);2017;5003256;83;0;1549,333333;25,486667;2614,115253;0,21686747;7601,955048;0,168674699;9842,362108;0,168674699;0,036144578;29,1686747;10,80722892;0,204819277
Itiquira (MT);2017;5104609;86;0;1450,188889;26,67;3023,950349;0,151162791;6673,181093;0,244186047;9557,966198;0,244186047;0,058139535;23,80232558;14,41860465;0,360465116
São Félix do Araguaia (MT);2017;5107859;85;0;2065,0375;29,588125;5513,312118;0,647058824;4727,683612;0,141176471;9276,448588;0,141176471;0,047058824;21,90588235;9,164705882;0,129411765
Santa Rita do Trivelato (MT);2017;5107768;74;0;1904,057143;26,721429;3361,254595;0,27027027;6714,283216;0,189189189;8810,700432;0,189189189;0,067567568;11,10810811;12,86486486;0,27027027
Meridiano (SP);2017;3529609;16;0;1239,1;25,62;385,579625;0,5625;8672,2745;0,25;8792,694563;0,25;0,0625;90,8125;9,5;0,25
Itarumã (GO);2017;5211305;14;0;1397,45;26,826667;2645,4335;0,642857143;9531,656214;0,214285714;8597,018857;0,214285714;0,285714286;38,28571429;6,857142857;0,071428571
Sonora (MS);2017;5007935;31;0;1503,0125;26,20875;3480,656387;0,258064516;3784,810452;0,258064516;8555,828903;0,258064516;0;11,29032258;16;0,258064516
Carneirinho (MG);2017;3114550;14;0;1264,2;26,676;1741,355357;0,214285714;6692,889929;0,214285714;8554,067143;0,214285714;0,071428571;29,85714286;8,5;0,071428571
Limeira do Oeste (MG);2017;3138625;29;0;1246,7;26,8225;1800,374931;0,517241379;5551,153448;0,24137931;8388,253862;0,24137931;0,034482759;21,44827586;NA;0,034482759
Porto dos Gaúchos (MT);2017;5106802;84;0;1860,4;27,125;4470,670595;0,357142857;4419,45156;0,142857143;8374,838143;0,142857143;0,035714286;10,35714286;10,39285714;0,297619048
Alto Garças (MT);2017;5100409;47;0;1542,833333;24,983333;2156,684894;0,340425532;5370,318638;0,212765957;8270,767362;0,212765957;0,021276596;27,10638298;13;0,319148936
Aporé (GO);2017;5201504;13;0;1463,66;25,35;2813,721538;0,076923077;15220,59608;0,153846154;8190,207923;0,153846154;0,076923077;49,69230769;10,38461538;0,076923077
Bom Jesus do Araguaia (MT);2017;5101852;48;0;2173,8;28,685;3197,302917;0,541666667;5739,816583;0,0625;8149,345167;0,0625;0;13,25;11,16666667;0,104166667
Porteirão (GO);2017;5218052;22;0;1372,233333;27,333333;2100,481545;0,045454545;5473,498227;0,227272727;7999,698818;0,227272727;0,227272727;20,95454545;13,27272727;NA
NA;2017;5107354;37;0;2183,2;29,78875;3038,675351;0,648648649;2787,668811;0,108108108;7985,726432;0,108108108;0;15,78378378;7,162162162;0,162162162
Novo São Joaquim (MT);2017;5106281;55;0;1732,433333;26,106667;2642,506;0,309090909;5453,446818;0,181818182;7858,914018;0,181818182;0,127272727;21,25454545;14,03636364;0,254545455
Chapadão do Céu (GO);2017;5205471;89;0;1488,2;24,7375;1750,477191;0,202247191;6375,175742;0,168539326;7814,124775;0,168539326;0,011235955;22,07865169;10,58426966;0,146067416
Jateí (MS);2017;5005103;25;0;1716,2;23,735;1862,3116;0,4;2503,75724;0,24;7519,94432;0,24;0,04;6,92;5,32;0,12
Tibau (RN);2017;2411056;16;0;875,9;27,7;492,6625;0,4375;13455,5615;0,1875;7410,97125;0,1875;0,8125;179,6875;11,9375;NA
Chapadão do Sul (MS);2017;5002951;78;0;1511,071429;25,758571;1964,609359;0,102564103;4383,178179;0,166666667;7389,86909;0,166666667;0,025641026;32,92307692;13,47435897;0,256410256
Brasnorte (MT);2017;5101902;132;0;2010,835714;27,302143;4044,841311;0,454545455;3122,356409;0,151515152;7215,986182;0,151515152;0,053030303;17,78030303;8,257575758;0,189393939
Paranaiguara (GO);2017;5216304;16;0;1373,5;27,72;1361,773875;0,5625;2073,779313;0,25;7036,731;0,25;0,5;47,375;5,0625;0
Cachoeira Alta (GO);2017;5204102;9;0;1414,45;27,3625;1384,996889;0,666666667;7397,501222;0,111111111;6920,712222;0,111111111;0,111111111;30,44444444;3,333333333;0
Nova Mutum (MT);2017;5106224;281;0;1898,127273;26,927273;2082,90452;0,167259786;4527,290968;0,160142349;6493,26553;0,160142349;0,06405694;9,491103203;9,483985765;0,252669039
